FTU,Organ,FTUID,PathStep,PathVessel,PathVesselID,Type
white pulp of spleen,spleen,UBERON:0001959,9,splenic artery,UBERON:0001194,Artery
white pulp of spleen,spleen,UBERON:0001959,10,lobar artery of spleen,nan,Artery
white pulp of spleen,spleen,UBERON:0001959,11,segmental branch of lobar artery of spleen,nan,Artery
white pulp of spleen,spleen,UBERON:0001959,12,spleen trabecular artery,UBERON:0010399,Artery
white pulp of spleen,spleen,UBERON:0001959,13,spleen central arteriole,UBERON:0010401,FTU
white pulp of spleen,spleen,UBERON:0001959,14,non-penicillar arteriole of spleen,nan,Artery
white pulp of spleen,spleen,UBERON:0001959,15,sheathed capillary of spleen,nan,Artery
white pulp of spleen,spleen,UBERON:0001959,16,superficial white pulp capillary of spleen,nan,Artery
white pulp of spleen,spleen,UBERON:0001959,17,branch of superficial white pulp capillary of spleen,nan,FTU
white pulp of spleen,spleen,UBERON:0001959,19,sheathed capillary of spleen,nan,Vein
white pulp of spleen,spleen,UBERON:0001959,20,post-sheath open capillary of spleen,nan,FTU/red
white pulp of spleen,spleen,UBERON:0001959,21,splenic venous sinusoid,UBERON:0003910,FTU/red
white pulp of spleen,spleen,UBERON:0001959,22,red pulp venule of spleen,nan,FTU/red
white pulp of spleen,spleen,UBERON:0001959,23,spleen trabecular vein,UBERON:0010400,Vein
white pulp of spleen,spleen,UBERON:0001959,24,splenic vein,UBERON:0003713,Vein
white pulp of spleen,spleen,UBERON:0001959,25,hepatic portal vein,UBERON:0001639,Vein
white pulp of spleen,spleen,UBERON:0001959,26,left hepatic portal vein,FMA:15415,Vein
white pulp of spleen,spleen,UBERON:0001959,27,left lateral hepatic portal vein,nan,Vein
white pulp of spleen,spleen,UBERON:0001959,28,lateral inferior segmental hepatic portal vein,FMA:15432,Vein
white pulp of spleen,spleen,UBERON:0001959,29,hepatic portal venule,nan,Liver FTU
white pulp of spleen,spleen,UBERON:0001959,30,hepatic sinusoid,UBERON:0001281,Liver FTU
white pulp of spleen,spleen,UBERON:0001959,31,central vein of liver,UBERON:0006841,Liver FTU
white pulp of spleen,spleen,UBERON:0001959,32,segmental hepatic vein,nan,Vein
white pulp of spleen,spleen,UBERON:0001959,33,left hepatic vein,UBERON:0011955,Vein
white pulp of spleen,spleen,UBERON:0001959,34,inferior vena cava,UBERON:0001072,Vein
white pulp of spleen,spleen,UBERON:0001959,35,right atrium,UBERON:0002078,Vein
white pulp of spleen,spleen,UBERON:0001959,36,secondary follicle arteriole of spleen,nan,FTU
